Actual,Predicted
48.97,48.96999999999994
145.0,145.0
130.0,130.0
145.0,145.0
145.0,145.0
41.97,41.96999999999989
75.0,75.0
170.0,170.0
95.0,95.0
205.0,205.0
68.0,68.0
130.0,130.0
130.0,130.0
230.0,230.0
68.97,68.97000000000004
135.0,135.0
100.0,100.0
68.97,68.97000000000004
75.0,75.0
95.0,95.0
80.0,80.0
40.0,40.0
170.0,170.0
48.0,48.0
147.0,147.0
62.97,62.970000000000006
190.0,190.0
140.0,140.0
125.0,125.0
140.0,140.0
145.0,145.0
120.0,120.0
20.0,20.0
100.0,100.0
210.0,210.0
95.0,95.0
68.0,68.0
55.0,55.0
95.0,95.0
31.0,31.07
200.0,200.0
105.0,105.0
229.97,229.9700000000001
155.0,155.0
84.97,84.97000000000006
130.0,130.0
48.97,48.96999999999996
150.0,150.0
75.0,75.0
92.97,92.97
45.0,45.0
150.0,150.0
130.0,130.0
85.0,85.0
175.0,175.0
55.0,55.0
70.0,70.0
80.0,80.0
57.97,57.970000000000006
170.0,170.0
75.0,75.0
165.0,165.0
46.0,46.0
85.0,85.0
51.97,51.969999999999985
164.99,164.98999999999992
150.0,150.0
45.0,45.0
120.99,120.99000000000038
24.97,24.969999999999967
31.97,31.969999999999896
100.0,100.0
145.0,145.0
35.0,35.0
145.0,145.0
70.0,70.0
150.0,150.0
89.97,89.97
64.0,64.0
60.0,60.0
90.0,90.0
130.0,130.0
120.0,120.0
68.0,68.0
96.97,96.96999999999997
70.0,70.0
95.0,95.0
42.0,42.0
120.99,120.99000000000038
58.0,58.0
90.0,90.0
150.0,150.0
125.0,125.0
40.0,40.0
122.99,122.9899999999998
92.97,92.97
150.0,150.0
350.0,350.0
40.0,40.0
80.0,80.0
75.97,75.97000000000004
130.0,130.0
365.0,365.0
130.0,130.0
105.0,105.0
48.0,48.0
85.0,85.0
48.0,48.0
108.0,108.0
135.0,135.0
35.0,35.0
190.0,190.0
145.0,145.0
70.0,70.0
150.0,150.0
45.0,45.0
21.97,21.96999999999999
125.0,125.0
175.0,175.0
35.0,35.0
145.0,145.0
90.0,90.0
170.0,170.0
120.0,120.0
120.0,120.0
38.97,38.969999999999914
35.0,35.0
130.0,130.0
160.0,160.0
100.0,100.0
240.0,240.0
42.0,42.0
390.0,390.0
70.0,70.0
37.0,37.0
180.0,180.0
133.99,133.98999999999998
80.0,80.0
55.0,55.0
80.0,80.0
130.0,130.0
200.0,200.0
85.0,85.0
45.0,45.0
40.0,40.0
96.97,96.96999999999997
32.97,32.96999999999994
25.97,25.989999999999966
95.0,95.0
175.0,175.0
78.97,78.97000000000007
80.0,80.0
31.97,31.969999999999896
175.0,175.0
27.97,28.045299999999962
80.0,80.0
75.0,75.0
42.97,42.96999999999993
68.0,68.0
35.0,35.0
164.99,164.98999999999992
160.0,160.0
80.0,80.0
60.0,60.0
95.0,95.0
120.0,120.0
130.0,130.0
37.0,37.0
35.0,35.0
40.0,40.0
62.97,62.970000000000006
235.0,235.0
245.0,245.0
120.0,120.0
195.0,195.0
81.97,82.13000000000007
85.0,85.0
64.0,64.0
85.0,85.0
46.0,46.0
85.0,85.0
50.0,50.0
60.97,60.97000000000002
115.0,115.0
235.0,235.0
27.0,27.0
45.0,45.0
45.0,45.0
48.0,48.0
70.0,70.0
105.0,105.0
40.0,40.0
44.97,44.96999999999991
38.0,38.0
145.0,145.0
210.0,210.0
85.0,85.0
85.0,85.0
40.97,40.96999999999991
165.0,165.0
185.0,185.0
175.0,175.0
45.0,45.0
370.0,370.0
150.0,150.0
120.0,120.0
48.0,48.0
120.99,120.99000000000038
44.97,44.969999999999935
175.0,175.0
80.0,80.0
80.0,80.0
210.0,210.0
210.0,210.0
126.99,126.9899999999998
130.0,130.0
125.0,125.0
60.0,60.0
55.97,55.97
95.0,95.0
50.0,50.0
110.97,110.96999999999989
130.0,130.0
245.0,245.0
125.0,125.0
85.0,85.0
125.0,125.0
95.0,95.0
40.0,40.0
75.0,75.0
51.97,51.969999999999985
52.5,52.5
95.0,95.0
35.0,35.0
200.0,200.0
40.0,40.0
75.0,75.0
150.0,150.0
125.0,125.0
95.0,95.0
150.0,150.0
55.97,55.97
205.0,205.0
100.0,100.0
165.0,165.0
125.0,125.0
245.0,245.0
235.0,235.0
65.97,65.97000000000004
